,rating,total_rating,price,next_month_bought,offer,brand,model_name,screen_size_inches,colour,hard_disk_size_GB,cpu_model,ram_GB,os,special_features,graphics_card
0,4.3,63,85990.0,0,28,Lenovo,Yoga Slim,14,Luna Grey,512.0,Intel Core Ultra 5,16,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, HD Audio",Integrated
1,4.0,313,38000.0,500,27,Lenovo,Lenovo V15,15,Gray,512.0,Ryzen 5,16,Windows 11,HD Audio,Integrated
2,3.1,62,16990.0,200,60,Neopticon,BrowseBook,14,Gray,128.0,Celeron N4020,4,Windows 11 Home,"HD Audio, Memory Card Slot",Integrated
3,3.9,2071,24490.0,400,38,acer,Aspire Lite,15,Steel Gray,512.0,Ryzen 3,16,Windows 11 Home,Lightweight,Integrated
4,4.0,48,99990.0,50,17,ASUS,ASUS Vivobook,16,Black |,512.0,Intel Core 7,16,Windows 11 Home,"Anti-glare display, Backlit Keyboard, Precision touchpad",Integrated
5,4.2,614,71800.0,100,19,ASUS,TUF Gaming,15,"Black, R7",512.0,AMD Ryzen 7,16,Windows 11 Home,Anti-glare display,Dedicated
6,4.1,10,36990.0,200,13,HP,DQ3149TU,14,Black,512.0,Celeron,8,Windows 11 Home,"Anti Glare Coating, Lightweight",Integrated
7,3.6,5,103990.0,50,18,HP,HP Gaming,39,Mica Silver,1000.0,Core i7,24,Windows 11 Home,"Anti Glare Coating, RGB Backlit",Dedicated
8,3.9,766,58490.0,200,26,HP,HP Laptop,39,Silver,1000.0,Core i5,16,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated
9,3.4,818,26980.0,200,28,acer,Aspire 3,15,Silver,512.0,Others,8,Windows 11 Home,Thin,Integrated
10,3.8,56,41890.0,50,47,Lenovo,Lenovo V14,14,Iron Grey,512.0,Core i3,8,Windows 11 Home,"Anti Glare Coating, HD Audio, Lightweight, Spill Resistant",Integrated
11,3.5,70,49990.0,200,43,Lenovo,ThinkBook 16,16,R7 7735HS,512.0,Ryzen 7,16,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, HD Audio, Lightweight",Integrated
12,4.0,60,86990.0,50,13,ASUS,ASUS TUF,16,Mecha Gray,1000.0,Ryzen 7,16,Windows 11 Home,"144Hz Refresh Rate, 300nits Brightness, Anti-glare display",Dedicated
13,4.1,964,40990.0,500,27,HP,HP Laptop,39,Natural Silver,512.0,Core i3 Family,12,Windows 11 Home,Anti Glare Coating,Integrated
14,4.2,100,42990.0,200,24,Dell,Inspiron,15,Silver,512.0,Ryzen 5,16,Windows 11 Home,LED-Backlit,Integrated
15,3.8,347,65990.0,300,24,HP,HP Laptop,39,Blue,512.0,Ryzen 5,16,Windows 11 Home,"Anti Glare Coating, Micro Edge Display",Dedicated
16,5.0,1,72390.0,0,20,Lenovo,IdeaPad Slim,15,Luna Grey,1000.0,Intel Core i7,24,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, HD Audio",Integrated
17,4.2,614,99990.0,200,15,ASUS,ASUS TUF,15,Graphite Black,512.0,AMD Ryzen 7,16,Windows 11 Home,"720P HD camera, Anti-glare display, Backlit Keyboard",Dedicated
18,3.4,818,26490.0,100,28,acer,Aspire 3,14,Silver,512.0,Others,12,Windows 11 Home,Thin,Integrated
19,3.9,2071,34320.0,0,0,acer,Aspire Lite,15,Gray,512.0,Ryzen 5,16,Windows 11 Home,"HD Audio, Lightweight, Numeric Keypad",Integrated
20,4.2,48,114990.0,0,15,Lenovo,Yoga Slim,15,2024 Aura,1000.0,Intel Core Ultra 7,32,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, HD Audio",Integrated
21,3.7,32,56501.0,50,34,Lenovo,E14 Gen,14,Graphite Black,512.0,Ryzen 5,16,Windows 11,"Anti Glare Coating, Backlit Keyboard, Copilot, Fingerprint Reader, HD Audio, Lightweight",Integrated
24,3.9,668,48990.0,50,27,acer,Aspire Lite,15,Silver,512.0,Core i5-12450H,16,Windows 11 Home,"Backlit Keyboard, Lightweight, Thin",Integrated
26,3.6,4,83290.0,50,28,Lenovo,LOQ,15,Luna Grey,512.0,Intel Core i7,24,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated
27,3.8,347,103990.0,50,21,HP,HP Laptop,39,Blue,1000.0,Ryzen 9,16,Windows 11 Home,Anti Glare Coating,Dedicated
28,4.2,84,61990.0,200,37,HP,HP Laptop,40,Glacier Silver,1000.0,Snapdragon X,16,Windows 11 Home,Unknown,Integrated
29,4.5,437,18590.0,200,40,Primebook,Primebook 2,11,Gray,128.0,MediaTek Helio,6,PrimeOS 3.0,"Lightweight, Memory Card Slot",Integrated
