,rank-title,rank-sub,price,discount,selling_proposition,goods-title-link
0,#10 Best Sellers,in Other Body Care Machines,2.7,0,0,"4pcs Makeup Sponge Beauty Egg Set - Makeup Sponge For Foundation Blending With Egg Holder, Perfectly Used For Cream, Powder, Blush, Concealer, And Liquid"
1,#1 Best Sellers,in Hair Dryers,4.38,32,0,1pc Salon Tools Black Pink Universal Silicone Hair Dryer Diffuser Hood Adjustable Temperature Dispersion Resistant Drying Hair Dryer
2,#2 Best Sellers,in Electric Nose & Ear Trimmers,2.86,25,0,Portable Lithium Battery Powered Hair Trimmer & Nose Hair Trimmer
3,#7 Best Sellers,in Juicer & Food Processor,3.46,51,0,"Multifunctional Manual Food Chopper, Kitchen Vegetable Fruit Onion Garlic Nuts Herb Slicer, Hand-Powered Mixing Cutter, Green"
4,#7 Best Sellers,in Cleaning Appliance Parts,2.4,0,0,"1 Set Of 2 Portable Fan Cleaning Brushes, Household Multi-Purpose Keyboard And Gap Cleaning Small Brush - Deep Into The Gap, Easily Remove Dust."
5,#8 Best Sellers,in Electric Toothbrushes,2.6,0,0,"Smart Electric Toothbrush With 6 Modes 42000vpm & Smart Timer - Effectively Cleans Teeth & Gums, Rechargeable USB Electric Toothbrush With 4/8 Replacement Head, Electric Toothbrush For Adults, Available In 3 Colors, Great Gift Father's Day Gift"
6,#5 Best Sellers,in Electric Nose & Ear Trimmers,2.1,46,0,1pc 12.7cm Aluminum Metal Electric Battery Type Eyebrow Shaver Nose Hair Trimmer
7,Unranked(New),General Application,35.0,0,0,"Professional Curler, Electrically Heated Automatic Curler, Negative Ion Electric Clip Curler, Portable Heated Hair Styling Tool For Home Use, Salon, Hair Salon, Mother's Day Gift"
8,#9 Best Sellers,in Specialty Kitchen Appliances,4.4,0,0,"1pc Mini Bag Sealer, Rechargeable Portable Sealing Machine, Handheld Plastic Vacuum Sealer For Kitchen Packaging"
9,Unranked(New),General Application,2.95,16,100.0,"New Mini Nail Lamp Portable Led Uv Lamp Usb Nail Dryer For Gel Polish, Single Finger Curing"
10,#3 Best Sellers,in Refrigerators & Freezers,34.99,54,0,"Reemix Mini Fridge, 3.7 Liter/6 Can Portable Cooler And Warmer Personal Refrigerator For Skin Care, Cosmetics, Beverage, Food,Great For Bedroom, Office, Car, Freon-Free"
11,Unranked(New),General Application,5.31,44,10.0,"1pc Smart Stainless Steel Mug With Mixing Rod, Self-Stirring Cup Coffee Milk Mixer, Warm Bottle Full Automatic Mixing Cup Rotating Water Cup Electric Coffee Cup Lazy Portable Milk Stainless Steel Cup"
12,Unranked(New),General Application,4.0,5,0,"1 Set Of 100 Sheets Rectangular Parchment Paper For Baking, Siliconized Greaseproof Paper For BBQ & Steaming, Tray Absorbent Oil Blotting Pads"
13,Unranked(New),General Application,6.37,41,400.0,"USB Rechargeable Electric Milk Frother, Powerful Handheld Milk Frother, Mini Milk Foamer,Coffee Stirrer, Stainless Steel Drink Mixer For Coffee, Lattes, Cappuccino,Matcha,Hot Chocolate, Portable Foam Maker,Electric Wireless Blender Mini Coffee Maker"
14,#1 Best Sellers,in Led Makeup Mirror,4.8,4,0,"Portable Led Lighted Magnifying Travel Makeup Mirror 1X/3X Magnification Folding Dual Sided Compact Handheld Illuminated Mirror For Home Tabletop Decoration, Bathroom, Dresser Vanity & Countertop Bedroom Travel Dormitory Mirror Women Gift"
15,#1 Best Sellers,in Heater & Cooler,3.0,0,0,"1pc Handheld Portable Fan With Hand Rope And Self-Installed Battery, 1 Speed"
16,#4 Best Sellers,in Electric Space Heater,10.88,15,0,"1 Pc Menstrual Heating Pad  Uterine Warmer Hot Massage Stomach Heating Pad For Ladies And Girls Multi-Speed Adjustable Abdominal Heating MassageR,Portable Cordless Heating Pad, Electric Waist Belt Device"
17,Unranked(New),General Application,19.78,27,0,1PC Travel Electric Kettle Small Stainless Steel Portable Electric Kettle For Boiling Water Travel Tea Kettle Automatic Shut-Off Dry Protection 4 Preset Heating Settings 500ml Kettle For Coffee(White)
18,Unranked(New),General Application,1.56,71,20.0,"1pc 500ml/1000ml Clear Milk Carton Water Bottles,Can Be Reused,Leakproof Cute Square Portable Juice Bottle For Outdoor Sports Travel Camping School Activities"
19,Unranked(New),General Application,1.9,0,0,"1pc High-Quality Heat-Resistant Slotted Spoon - Extra-Long Handle For Safe Cooking And Serving, Large Drainage Slot For Dumplings, Noodles, And More, Easy To Clean - Durable Ergonomic Design For Various Kitchen Tasks"
20,#9 Best Sellers,in Juicer Machines,11.6,0,0,"1pc 300ml Electric Portable Juicer, USB Rechargeable Mini Fruit Juicer, Wireless Electric Juicer Personal Size Blender For Smoothies And Shakes, 1200mAh Super Long Battery Life, Home Fruit Blender For Sports, Kitchen, Home, Travel,Vegetable Fruit Tools,Kitchen Items,Cutter,Food,Salad,Decor,Storage,Party,Birthday,Camping,Summer Beach."
21,Unranked(New),General Application,2.9,0,200.0,"1pc Black Baking Tray With Special Barbecue Design For Air Fryer, Made Of Thickened Silicone With Anti-stick Mat, Reusable And Durable"
22,#5 Best Sellers,in Men Shave & Hair Removal Appliances,2.99,35,0,"Teckwe Multifunctional Electric Shaver For Men,USB Rechargeable Clippers For Beard Shaver With Guide Combs,Dragon & Phoenix Carving Mens Suitable For Home And Professional Barber Shop Use,Grooming Kit Valentine's Day Gift"
23,Unranked(New),General Application,2.07,10,10000.0,"Electric Nose Hair Trimmer, Unisex Nose Hair Cleaning Tool, Black Color Ear & Nose Hair Clipper, Personal Care Tool"
24,Unranked(New),General Application,19.99,50,80.0,"Sandwich Maker, Toaster And Electric Panini Grill With Non-Stick Coating Plate, Easy To Clean, Heating Up Fast, Built In Indicator Lights, Black"
25,Unranked(New),General Application,5.3,4,20.0,"Professional Teeth Whitening Kit - LED Light And Gel Strips Teeth Whitening Agent For A Brighter Smile, Suitable For Sensitive Teeth And Orthodontic Care"
26,Unranked(New),General Application,2.4,17,400.0,50pcs Air Fryer Disposable Paper Parchment Wood Pulp Steamer Cheesecake Air Fryer Accessories Baking Paper For Air Fryer
27,Unranked(New),General Application,21.4,0,0,"BEBIRD Ear Wax Removal Tool - R1 Upgraded Ear Cleaner With 1080P Camera,Comes With Two Replacement Heads,Ear Cleaner With Camera,Safer Ear Canal Cleaning"
