,rank-title,rank-sub,Price(₹),color-count,selling_proposition,discount,Product_Title
0,Unranked(New),General-Home-Textile,163.4,4.0,400,36.0,"1pc Soft Microfiber Hair Drying Towel, Ideal For Long Hair Women, Bath, Makeup, Spa, Home, Travel"
1,Unranked(New),General-Home-Textile,959.5,4.0,100,0.0,"Plain Bath Wrap Towel, Grey Simple Microfiber Bathrobe For Bathroom"
2,Unranked(New),General-Home-Textile,948.1,5.0,100,25.0,"1pc Solid Bath Wrap Towel & 1pc Hair Drying Cap, Grey Bathrobe For Women"
3,Unranked(New),General-Home-Textile,1007.0,5.0,700,0.0,"1pc Bohemian & Minimalist Style Shower Curtain With Abstract Mid Century Arch Lunar Phase & Geometric Pattern, Waterproof Bath Decor Suit Including 12 Plastic Hooks, 60 X 72 Inches"
4,Unranked(New),General-Home-Textile,199.5,4.0,5100,0.0,"1pc Custom Tapestry - Personalize With Photos For Unique Home Decor & Memorable Gifts - Ideal For Anniversaries, Birthdays, Weddings, Mother's Day & Special Events"
5,Unranked(New),General-Home-Textile,494.0,4.0,10,0.0,"2pcs, Hand Towels, Colorful Kitchen Towels With Sunflower Cow Pattern, Farmhouse Style Kitchen Dishcloths, Holiday Tea Towel, Kitchen Bathroom Supplies"
6,#7 Best Sellers,in Bed Pillows,285.0,4.0,0,64.0,"1pc Solid Color White Decorative Pillow, Modern Polyester Multifunction Decorative Pillow For Home"
7,Unranked(New),General-Home-Textile,703.0,4.0,4800,0.0,"1 Customized Photo Blanket, Personalized Family/Pet/Couple Photo Blanket, Mother's Day, Father's Day, Gift For Mom/Dad"
8,Unranked(New),General-Home-Textile,106.4,4.0,100,30.0,Heat-Resistant Silicone Potholder And Trivet Set - Kitchen And Tabletop Protection
9,#7 Best Sellers,in Fitted Sheet Trending Items,475.0,10.0,0,0.0,"Butterfly Pattern Fitted Sheet, Modern Fabric Elastic Band Fitted Sheet, For Bedroom"
10,#3 Best Sellers,in Rugs & Carpets,503.5,14.0,0,0.0,"1pc Nordic Style Printing Soft Plush Rug, Bathroom Anti-slip & Absorbent, Fashionable Simple Design, Suitable For Bedroom, Living Room, Balcony & Study"
11,Unranked(New),General-Home-Textile,304.0,6.0,100,0.0,"1pc Bertram Eats Pattern Printed Tapestry, Modern Polyester Fiber Square Decorative Tapestry Suitable For Living Room Bedroom Decoration"
12,#8 Best Sellers,in Duvet Covers & Sets,1370.85,4.0,0,22.0,3pcs Light Pink And Dark Pink Color Block Brushed Bedding Set Including Duvet Cover And Pillowcases
13,#3 Best Sellers,in Bathroom & Laundry Mats,456.0,6.0,0,0.0,1pc Creative Soft Memory Foam Laundry Room Or Bathroom Rug With Water Absorption And Slip Resistance Features
14,#3 Best Sellers,in Compressed Towels,118.75,4.0,0,40.0,"20pcs Disposable Compressed Towel,  Compressed Portable Travel Non-Woven Face Towel, Water Wet Wipe, Outdoor Moistened Tissues Cruise Essential,Portable Travel Towel Compressed Towels Disposable Towel Coin Tissue Towels Portable Mini Face Towels For Travel/Home/Outdoor Activities"
15,Unranked(New),General-Home-Textile,589.0,4.0,400,0.0,"1pc Transparent Pvc Anti-stain Tablecloth, Anti-skid, Anti-stain, Anti-oil, Multi-purpose Dining Room, Living Room, Study Room Table Mat, Suitable For Dining Table"
16,Unranked(New),General-Home-Textile,266.0,4.0,200,0.0,"1 Pc Microfiber Hair Towel Wrap For Women, Microfiber Hair Turban For Wet Hair Reversible Hair Drying Towel Wrap For Curly Long Thick Hair Anti Frizz"
17,#6 Best Sellers,in Wall Hanging,617.5,4.0,0,0.0,"1pc Natural Stone Cloud Shaped Crystal Car Ornament With Metal Chain, Romantic Home Wall Decor Dreamcatcher"
18,Unranked(New),General-Home-Textile,2669.5,4.0,100,0.0,3pcs Three-Piece Printed Chemical Fiber Ball Decoration Kit
19,Unranked(New),General-Home-Textile,214.7,4.0,200,32.0,"1pc Coral Velvet Women's Hair Drying Cap, Super Absorbent, Soft, Fashionable Turban For Quick Drying"
20,#3 Best Sellers,in Bedroom,209.00000000000003,4.0,0,0.0,"(Custom Photo) 1pc Personalized Single-Sided Printed Throw Pillow With Custom Photo, Cushion With Insert With Custom Wedding Pictures, Gift For Lovers On Valentine's Day Wedding Anniversary"
21,#9 Best Sellers,in Aprons,91.2,4.0,0,67.0,"1pc Random Fork & Spoon Pattern Apron, Modern PVC Oil-Proof And Waterproof Apron For Garden, Kitchen, Housework"
22,#1 Best Sellers,in Sheet Sets with Pillowcases,877.8000000000001,7.0,0,30.0,"3pcs/set Plain Satin Fitted Sheet Set Without Filler, Simple Plain Color Fitted Sheet Set For Bedroom"
23,Unranked(New),General-Home-Textile,68.39999999999999,4.0,10,70.0,18pcs Kitchen Cleaning Sponge Double Side Dishwashing Sponge Dish Washing Brush Pan Pot Dish Wash Sponges Household Cleaning Reusable Kitchen Tools
24,Unranked(New),General-Home-Textile,617.5,4.0,500,0.0,"Chunky Knit Blanket, Rabbit Fur & Milk Fabric & Flannel Cover Blanket, Warm Blanket For Nap, Leisure, Sofa, Bed, Winter"
25,Unranked(New),General-Home-Textile,66.5,4.0,100,53.0,"12pcs Chair Leg Pads/Table Leg Pads/Sofa Leg Pads, Non-Slip And Wear-Resistant Protective Covers, Mute And Cuttable"
