,rank-title,rank-sub,price,selling_proposition,discount,goods-title-link
0,Unranked(New),General_jewelry,82.65,3100.0,38.0,1pc Bohemian Stainless Steel Chain Colorful Starfish Pendant Women's Necklace Gift For Friends
1,#2 Best Sellers,in Jewelry Findings & Components,65.55,0.0,62.0,1box Earring Back Plug
2,Unranked(New),General_jewelry,136.79999999999998,5000.0,20.0,1 Pair Gorgeous Cubic Zirconia Stud Earrings For Women For Wedding Engagement Anniversary Party Jewelry Valentine's Day Gift
3,#5 Best Sellers,in Women Waist Accessories,152.0,0.0,6.0,"3pcs/Set Women's Fashionable Clothing Buckle Ring With Silk Scarf Holder For Tightening Shirt Hem Or T-Shirt Knot, Perfect To Show Waistline"
4,Unranked(New),General_jewelry,221.35,10000.0,3.0,4pcs Leaf Charm Beaded Bracelet
5,Unranked(New),General_jewelry,133.0,500.0,0.0,"1 Pair Of Fashionable And Cute Cartoon Mouse Earrings, Fashionable Animal Rhinestone Decorative Earrings, Small And Exquisite Earrings, Suitable For Festivals And Parties To Wear"
6,#5 Best Sellers,in Women Hoop Earrings,237.5,0.0,0.0,1pair Fashionable Ladies' Twist Mobius Loop Design Simple Earrings
7,Unranked(New),General_jewelry,91.2,70.0,26.0,50pcs/pack Silver Lobster Clasp Hook Connectors For DIY Jewelry Making Necklace Bracelet Chain Accessories
8,Unranked(New),General_jewelry,180.5,1900.0,30.0,"4pcs/set Fashionable Bohemian Style Glass Beaded Bracelet Set, Suitable For Women's Daily Wear"
9,Unranked(New),General_jewelry,88.35000000000001,2100.0,51.0,Elegant Promise Ring Women Bowknot Cubic Silver Plated Zirconia Ring Wedding Engagement Gift Jewelry
10,#4 Best Sellers,in Women Bracelets,209.00000000000003,0.0,0.0,20pcs Bohemian Style Glass Beaded Stackable White Bracelets For Women
11,Unranked(New),General_jewelry,518.7,700.0,22.0,1pc Multi-layer Foldable Hanging Eyeglasses Storage Box
12,#5 Best Sellers,in Bag Accessories,237.5,0.0,14.0,"1PC Portable Mini Transparent Zipper Storage Bag, Compact Multifunctional Organizer, Headphone And Charger Case With Keychain, Transparent Travel Accessories, Exquisite And Compact, Suitable For Storing Small Items, Data Cable Storage Bag, Bracelet Bag, Makeup Bag,Flower Alphabet A To Z Pattern Sunflower Daisy(Zipper Style And Color Are Random,Random Style And Size Of Circular Rings)"
13,#8 Best Sellers,in Women Ring Sets,144.4,0.0,20.0,10pcs/set Fashionable Geometric Resin Round Shaped Large Rings For Women's Party Accessories
14,Unranked(New),General_jewelry,287.84999999999997,100.0,58.0,"1box Clay Beads Kit For Friendship Couple Bracelet Making Kit  Flat Round Polymer Clay Shell Faux Pearl Beads Ocean Style For Jewelry Making, For Birthday Valentines Gift For Girls Suitable For Beginners"
15,Unranked(New),General_jewelry,152.0,10000.0,0.0,1pair Bohemian Zinc Alloy Bead Decor Water Drop Earrings For Women For Daily Decoration
16,#4 Best Sellers,in Men Beaded Bracelets,62.7,0.0,49.0,Evil Eye Bracelet Hamsa Hand Pendant Bracelet Elastic Beaded Bracelet
17,Unranked(New),General_jewelry,222.29999999999998,0.0,22.0,"1pc  Stainless Steel Cross English Scripture Twisted Mesh Bracelet For Men, Adjustable Length"
18,Unranked(New),General_jewelry,104.50000000000001,1100.0,8.0,"200pcs Headband For Girls, Black Solid Color Elastic Hairband For Daily Use, Simple And Durable, Thick Ponytail Headband, Simple And Elegant Style, High Elasticity And Seamless Hair Accessories"
19,Unranked(New),General_jewelry,180.5,50.0,10.0,"1PC Portable Mini Transparent Zipper Storage Bag, Bag Accessiores   Compact Multifunctional Organizer, Headphone And Charger Case With Keychain, Transparent Travel Accessories, Available In Black And White Colors, Exquisite And Compact, Suitable For Storing Small Items, Data Cable Storage Bag, Bracelet Bag, Makeup Bag"
20,Unranked(New),General_jewelry,133.0,2000.0,0.0,Disc Layered Necklace
21,#10 Best Sellers,in Women Dangle Earrings,142.5,0.0,0.0,Color Block Geometric Drop Earrings
22,Unranked(New),General_jewelry,329.65000000000003,600.0,35.0,"4pcs Watering Can Comb Set Styling Comb Set,3 Pcs Slick Back Hair Brush Set With 1 Pc Edge Brush 1 Pc Hair Brush 1 Pc Rat Tail Comb, Teasing Brush For Smoothing Baby Hair"
23,Unranked(New),General_jewelry,159.6,800.0,20.0,5pcs Bohemian Vacation Travel Commemorative Bracelet
24,Unranked(New),General_jewelry,142.5,3200.0,0.0,1pc Geometric Rhinestone Earrings Copper Jewelry
25,Unranked(New),General_jewelry,465.50000000000006,300.0,0.0,"Personalized Stainless Steel Name Necklace Custom Tag Pendant Necklaces For Women And Men, Jewelry Gift"
26,Unranked(New),General_jewelry,144.4,6800.0,5.0,"3pcs/Set Fashionable Soft Ceramic Rice Beads Faux Pearl & Heart Charm Anklet Set(Random Color), Suitable For Women's Daily Wear"
27,Unranked(New),General_jewelry,153.9,100.0,40.0,"1pc Fashionable Cartoon  Italian Pendant Charm Stainless Steel Detachable Module Bracelet For Men, Women, Girls, Anime Jewelry"
28,#6 Best Sellers,in Gender Neutral Accessories,252.70000000000002,0.0,14.0,"1pc Best-Selling Mini Pocket Fan Portable Battery Quiet Small Fresh Handheld Small Fan(The Battery Type Does Not Include The No.7 Battery, So The No.7 Battery Should Be Self-Equipped.)"
29,#7 Best Sellers,in Accessories Storage,206.15,0.0,51.0,"1pc multifunctional wooden hanger for underwear, belts, ties and vest storage, drying, hanging and organizing wardrobes, student dormitories and homes"
30,#6 Best Sellers,in Women Foot Jewelry,228.0,0.0,0.0,SHEIN SXY 2pcs Rhinestone Decor Anklet
31,#2 Best Sellers,in Women Glasses & Eyewear Accessories,304.0,0.0,9.0,1pc Unisex Tortoise Shell Color Square Frame Double Bridge Pilot Style Fashion Sunglasses For Vacation Boho Shades Beach Accessories
32,Unranked(New),General_jewelry,123.5,400.0,0.0,1pair Popular & Simple U-Shaped Rhinestone Earrings
33,#8 Best Sellers,in Customized Fashion Word Necklaces,589.0,0.0,0.0,"Personalized Name Necklace With Figaro Chain, Unique Customized Name Necklace Gift For Grandmother, Mother's Day Gift, Christmas Gift"
34,Unranked(New),General_jewelry,123.5,1300.0,0.0,Boho Shell Decor Necklace For Men Women For Holiday
35,Unranked(New),General_jewelry,427.5,10000.0,0.0,"5pcs/Set Lucky Four Leaf Clover Design Bracelet, Necklace, Earrings, Bangle And Ring"
36,Unranked(New),General_jewelry,262.2,9600.0,11.0,"White Miniature Jewelry Box, Jewelry Travel Case, Portable Jewelry Organizer For Earrings, Necklaces, Wedding Accessories, Travel Storage"
37,Unranked(New),General_jewelry,1326.2,100.0,11.0,"1pc Crystal Tower Drinking Water Bottle, Energy, Amethyst, Transparent Quartz, Water Cup, Healing Crystal, Festival Gift, Go Out To Carry Storage Drinking Water"
38,#1 Best Sellers,in Women Ring Sets,190.0,0.0,20.0,"28pcs/set Fashionable Ring Set With Heart Shaped Design, Geometric Style And Bohemian Element Accent"
39,Unranked(New),General_jewelry,142.5,400.0,0.0,"1pair Bohemian Style Wooden Leaf, Pink And Green Beaded Stud Earrings, Fashion Women's Jewelry Gift"
40,#5 Best Sellers,in Jewelry Making Thread & Cord,65.55,0.0,47.0,"1pc Transparent Elastic Thread Beading Cord 0.4-1.0mm, 100m Long, For Diy Bracelet, Necklace And Jewelry Making"
41,#2 Best Seller,in Pink Hair Styling Tools,61.75,0.0,57.0,1pc Cleaning Brush for Hair Combs - Plastic Handle for Easy Removal of Dirt and Dust - Embedded Beauty Tool for Cleaning and Maintenance
42,Unranked(New),General_jewelry,152.0,5400.0,0.0,Stainless Steel Bead Ball Pendan Sea Theme Beach Gifts For Women Men Girls Boys Necklace
43,Unranked(New),General_jewelry,159.6,2500.0,20.0,Star & Bead Decor Bracelet
44,#1 Best Sellers,in Women Watch Sets,332.5,0.0,0.0,"2pcs/Set Women's Rose Gold Stainless Steel Rhinestone Decorated Butterfly & Round Shaped Dial Quartz Watch And Alloy Bracelet, Suitable For Daily Wear Holiday"
45,Unranked(New),General_jewelry,190.0,10.0,0.0,1pair Disney Minnie And Mickey Mouse Stud Earrings
46,Unranked(New),General_jewelry,199.5,200.0,0.0,7Pcs/Set Gold Bangle Bracelets Set For Girls - Multi Layer Stackable Textured Bracelets Boho Jewelrys For Women.
47,Unranked(New),General_jewelry,138.7,200.0,30.0,"1pc Devil's Eye Natural Stone Beaded Bracelet, Bring Good Luck, Money, Health - Unisex, Made Of Tiger Eye Stone, - Perfect New Year Gift"
48,#10 Best Sellers,in Kids Fashion Glasses,275.5,0.0,9.0,Girls Rhinestone Decor Square Frame Fashion Glasses
49,#7 Best Sellers,in Hair Accessory Sets,109.24999999999999,0.0,62.0,1set Towel & Terry Cloth & Linen Twisted Headband Spa Face Wash Makeup Hair Band Set
50,Unranked(New),General_jewelry,199.5,7400.0,0.0,1pc Bohemian Turtle & Starfish Decor Beaded Layered Anklet For Women For Summer Beach Travel
51,Unranked(New),General_jewelry,152.0,10000.0,0.0,Rhinestone Decor Hoop Earrings
52,Unranked(New),General_jewelry,323.0,10.0,8.0,"1pc Ladies' Blue Mirrored Reflective Punk Metal Aviator Frame Sunglasses, Perfect For Daily Travel & Streetwear Fashion"
53,Unranked(New),General_jewelry,99.75,600.0,34.0,Safety Pin Design Stud Earrings
54,Unranked(New),General_jewelry,199.5,1100.0,0.0,5pcs/Set Fashionable Simple & Elegant Pearl & Heart Beaded Bracelet For Women
55,Unranked(New),General_jewelry,275.5,8800.0,0.0,1pc Glamorous Copper Rhinestone Heart Charm Bangle For Women For Daily Life
56,Unranked(New),General_jewelry,80.75,400.0,55.0,1pair Tassel & Pearl Decor Stud Earrings Elegant
57,Unranked(New),General_jewelry,138.7,50.0,23.0,1 Pack Approximately 100Pcs Multi Color Pink Purple White Assorted Shaped Nail Charms Acrylic Multi Shapes White Heart Flower Bowknot Bear Design Resin Charms For Nail Art Manicure
58,Unranked(New),General_jewelry,142.5,100.0,0.0,"2pcs/Set Upper And Lower Fake Teeth, 4th Generation Perfect Smiling Veneers, Punk Men's Halloween Vampire Costume"
59,Unranked(New),General_jewelry,265.05,1000.0,10.0,"Pink Trendy Travel Jewelry Box, Personalized Gifts Birthday Gifts For Women Christmas Gifts For Teens Girls Initial Travel Jewelry Case Without Mirror A-Z"
60,Unranked(New),General_jewelry,161.5,2400.0,0.0,2pcs Fashionable Minimalist Geometric Waterdrop Shaped Earrings
61,Unranked(New),General_jewelry,123.5,600.0,0.0,"19pcs/Set Fashionable Exquisite Retro Vacation Theme Jewelry Set With Rice Pearls, Butterfly Heart Pendant, Rhinestone, Tassel, Link Chain, Snake Bone Chain, Airplane Chain, Metal Anklet. Perfect For Seaside Vacation, Beach Parties, Festivals, And Dating. Also Great As Gifts For Daily Wear."
62,Unranked(New),General_jewelry,159.6,3700.0,20.0,"4pcs/set Luxury Square Shape Rhinestone Inlaid Necklace, Earrings, Ring Set, Suitable For Party & Formal Dress Accessory"
63,Unranked(New),General_jewelry,118.75,800.0,22.0,1pc European And American Fashionable Simple Style Chain With ABS Pearl Pendant Women Necklace For Festival Gift And Daily Wear
64,Unranked(New),General_jewelry,256.5,300.0,7.0,"3pcs Women's Pink Purple Green Gradient Color Flower Shaped Lightweight Plastic Hair Clips, Fashionable And Versatile, With An Elegant And Minimalist Design, Suitable For Daily Wear, Parties, Work, Vacation, And Hair Styling Such As Tieing Up, Braiding, And Putting On Makeup, To Match Clothing And Other Accessories."
65,Unranked(New),General_jewelry,142.5,6200.0,0.0,Medium-Sized Exaggerated Drop-Shaped Earrings With New Design Concept For Women To Wear Daily And Dress Up.
66,Unranked(New),General_jewelry,566.2,100.0,19.0,"10 Pieces, Kraft Paper Cake Box (6''X3.5''X3.5'') Portable Birthday Gift Box Empty Box Party Versatile Blank Box Gift Box"
67,Unranked(New),General_jewelry,294.5,7700.0,0.0,6pcs Elastic rope beaded women's bracelet
68,Unranked(New),General_jewelry,142.5,3900.0,0.0,1pair New Fashion Creative Pineapple Stud Earrings For Women's Summer Beach Accessories
69,Unranked(New),General_jewelry,1276.8,900.0,20.0,"1200PCS 48 CompartmentsGlass Beads for Jewelry Making, 24 Colors 8mm Crystal Beads Bracelets Making Kit, 2 Box Round Beads Suitable for Beginners"
70,Unranked(New),General_jewelry,218.49999999999997,200.0,0.0,5pcs Gold Bracelets For Women Stretch Beaded Bracelets Stackable Plated Bead Ball Bracelet For Women Trendy Gift
71,Unranked(New),General_jewelry,133.0,200.0,0.0,"1pc Fashionable Vintage Multi-Layered Turquoise Conch Starfish Faux Pearl Turtle Beaded Anklet For Men And Women, Summer Beach Holiday Accessories"
72,Unranked(New),General_jewelry,91.2,4600.0,20.0,Round Drop Earrings
73,Unranked(New),General_jewelry,313.5,10000.0,11.0,3pairs Fashionable Stainless Steel Women's Large Personality Style Jewelry
74,Unranked(New),General_jewelry,73.15,10000.0,45.0,Slogan Graphic Drop Earrings
75,Unranked(New),General_jewelry,95.0,100.0,0.0,Minimalist Round Design Stud Earrings
76,Unranked(New),General_jewelry,322.05,0.0,41.0,1pc Handmade Green Aventurine Tree Ornament Exquisite Dongling Jade Jewelry Amorphous Natural Stone Wealth Tree For Home Decoration For Random Size
77,Unranked(New),General_jewelry,285.0,1200.0,0.0,"European And American Stylish Geometric Waterdrop Crossover Vintage Ring And Bracelet Set For Women, Simple And Trendy Jewelry"
78,Unranked(New),General_jewelry,104.50000000000001,300.0,8.0,"1-11pcs Fashionable Classic Matte Hair Claw Clip - Trendy Flower And Butterfly Styles - Durable Hair Clip Suitable For Chic Ponytails And Updos - Perfect Hair Accessory For Women And Girls, Ideal For Music Festivals, Parties, Gift Sets, Holiday Gifts And Decorations. These Decorative Hair Clips Are A Subtle Highlight For Any Hairstyle!"
79,#1 Best Sellers,in Beads,82.65,0.0,33.0,20pcs/set 13 MM Sunflower Acrylic Beads Matter Mix Color Spacer Acrylic Beads For Making Bracelet Earrings
80,Unranked(New),General_jewelry,142.5,1100.0,0.0,Acrylic Rectangle Drop Earrings
81,Unranked(New),General_jewelry,152.0,10000.0,20.0,"3pcs/set Simple Gold-tone Circular Pendant Tassel Beaded Anklet For Women, Suitable For Daily Wear And Vacation"
82,Unranked(New),General_jewelry,82.65,1400.0,42.0,Faux Pearl Butterfly Decor Stud Earrings
83,Unranked(New),General_jewelry,503.5,900.0,0.0,15 Pcs Random Preppy Heishi Bracelets Set Friendship Bracelets Bulk Adjustable Stretch Beaded Bracelets Colorful Clay Bracelets Bohemian Aesthetic Jewelry For Women Girls Christmas Birthday Party
84,Unranked(New),General_jewelry,266.0,30.0,10.0,"1pc Summer Mini Handheld Quiet Small Fan With Lanyard, Portable Battery Small Fresh Fan (This Product Does Not Have Batteries, You Need To Come With 2 No. 7 Batteries)"
85,Unranked(New),General_jewelry,237.5,5100.0,0.0,2pcs/set Fashionable Flower Decor Jewelry Set For Women For Gift
