,color-count,Product_Title,selling_proposition,Final_Amount,discount,rank-title,rank-sub,Org_Amount
0,15.0,Manfinity Homme Loose Fit Men's Solid Color Button Up Shirt,10000.0,1139.05,7.0,Unranked(New),Simple Menswear,1224.784946236559
1,0.0,Manfinity Joysei Men's Star Patterned Shorts With Drawstring Waist,0.0,1063.05,13.0,#8 Best Seller,in Blue Men Clothing,1221.896551724138
2,0.0,"Men's Summer Casual Short Sleeve T-Shirt With Slogan And Character Print, Round Neck",0.0,768.55,13.0,#10 Best Seller,in Figure Men T-Shirts,883.3908045977012
3,11.0,Manfinity Homme Men's Contrast Color Short Sleeve Polo Shirt With Decorative Details,10000.0,949.0500000000001,12.0,Unranked(New),Simple Menswear,1078.465909090909
4,7.0,Manfinity EMRG Loose Fit Men Plus Letter Printed Graphic Tee,30.0,330.6,70.0,Unranked(New),Simple Menswear,1102.0
5,6.0,Manfinity Hypemode Loose Fit Men's Cotton Jeans With Slant Pockets Baggy Long Washed Skater Jean Cargo Plain Light Blue Going Out Y2K Friends,0.0,2345.55,12.0,#8 Best Seller,in Pocket Men Jeans,2665.3977272727275
6,10.0,Manfinity Hypemode Men Solid Button Up Shirt & Drawstring Waist Pants Without Tee,0.0,2165.0499999999997,7.0,#2 Best Seller,in Fabric Men Shirt Co-ords,2328.0107526881716
7,8.0,Men's Summer Letter Printed Short Sleeve Round Neck Casual Commute T-Shirt,80.0,389.49999999999994,56.0,Unranked(New),Simple Menswear,885.2272727272725
8,6.0,Manfinity Homme Men's Simple Print/Pattern/Letter Short Sleeve T-Shirt,3800.0,759.0500000000001,13.0,Unranked(New),Simple Menswear,872.471264367816
9,4.0,Manfinity Homme Men Plus Size Summer Casual Solid Texture Short Sleeve T-Shirt And Shorts Set,0.0,2275.25,14.0,#2 Best Sellers,in Men Plus Size Co-ords,2645.639534883721
10,0.0,"ROMWE Street Life Men's 2pcs Slogan Printed Shorts, Suitable For Daily Wear In Spring And Summer",100.0,1471.55,14.0,Unranked(New),Simple Menswear,1711.1046511627908
11,23.0,Manfinity Homme Men's Solid Color Round Neck Short Sleeve T-Shirt,0.0,597.55,17.0,#10 Best Seller,in Black Men Clothing,719.9397590361444
12,10.0,Manfinity Hypemode Loose Men Slant Pockets Drawstring Waist Shorts,500.0,375.25,54.0,Unranked(New),Simple Menswear,815.7608695652174
13,5.0,Manfinity LEGND Plus Size Round Neck Letter Printed Short Sleeve T-Shirt For Summer,600.0,882.55,12.0,Unranked(New),Simple Menswear,1002.8977272727273
14,12.0,Manfinity EMRG Men Bear & Letter Graphic Tee & Drawstring Waist Shorts,0.0,1500.05,13.0,#2 Best Seller,In Cartoon Men Clothing,1724.1954022988505
15,6.0,Manfinity RSRT Men's Plus Size Fashion Color Block Button-Down Shirt And Shorts Set,800.0,2047.25,8.0,Unranked(New),Simple Menswear,2225.271739130435
16,0.0,Manfinity Homme Men Solid Button Up Shirt & Shorts Set,0.0,1880.05,7.0,#1 Best Seller,in White Men Shirt Co-ords,2021.5591397849462
17,0.0,"Manfinity Hypemode Manfinity Hypemode Men's Men Beach Outfits Printed Single-Breasted Casual Knitted Top, Ideal For Vacation, Summer",10.0,1329.05,14.0,Unranked(New),Simple Menswear,1545.406976744186
18,0.0,Manfinity Homme Men Plus Size Summer Round Neck Landscape Print Short Sleeve T-Shirt And Drawstring Pocket Shorts Two-Piece Set,1000.0,1709.05,13.0,Unranked(New),Simple Menswear,1964.4252873563219
19,0.0,Men's Solid Color Short Sleeve Polo Shirt And Drawstring Shorts Summer Casual Outfit,500.0,1541.8500000000001,7.0,Unranked(New),Simple Menswear,1657.9032258064517
20,4.0,"Men's Summer Short-Sleeve Casual T-Shirt With Letter Print, Round Neck",0.0,759.0500000000001,7.0,#9 Best Seller,in Polyester Men T-Shirts,816.1827956989247
21,7.0,Men Drawstring Waist Zipper Pocket Shorts,0.0,882.55,7.0,#10 Best Seller,in Plain Men Shorts,948.9784946236559
22,0.0,Manfinity Homme Men's Plus Size Summer Casual Short Sleeve T-Shirt With Slogan Print And Crew Neck,0.0,977.55,13.0,#9 Best Seller,in Colorblock Men Plus Size Clothing,1123.6206896551723
23,0.0,Manfinity Homme Men's Short Sleeve Shirt,1300.0,1212.2,7.0,Unranked(New),Simple Menswear,1303.4408602150538
24,9.0,Manfinity Homme Men's Solid Color Short Sleeve Polo Shirt,0.0,1253.05,13.0,#4 Best Seller,in White Men Polo Shirts,1440.287356321839
25,7.0,Manfinity Men Cartoon & Slogan Graphic Tee,600.0,660.25,22.0,Unranked(New),Simple Menswear,846.474358974359
26,0.0,Manfinity RSRT Men's Plus Size Summer Palm Tree & Letter Print Round Neck Short Sleeve Casual T-Shirt And Drawstring Waist Shorts Set,30.0,684.95,63.0,Unranked(New),Simple Menswear,1851.2162162162163
27,7.0,Men's Casual Drop-Shoulder Short Sleeve T-Shirt With Letter Print For Summer,20.0,365.75,56.0,Unranked(New),Simple Menswear,831.25
28,8.0,Manfinity Homme Loose-Fit Men's Solid Color T-Shirt & Drawstring Waist Shorts,0.0,1965.5500000000002,12.0,#4 Best Seller,in Green Men Co-ords,2233.579545454546
29,7.0,Manfinity EMRG Men's Letter Printed Hooded Casual Sweatshirt,0.0,1348.05,13.0,#5 Best Seller,in Letter Men Hoodies & Sweatshirts,1549.4827586206898
30,10.0,Manfinity EMRG Men's Letter Printed Slim Fit Short Sleeve T-Shirt For Summer,6800.0,749.55,12.0,Unranked(New),Simple Menswear,851.7613636363636
31,0.0,Manfinity RSRT Men Plus Gradient Color Short Sleeve Shirt And Shorts Set,1200.0,2136.5499999999997,7.0,Unranked(New),Simple Menswear,2297.365591397849
32,9.0,Manfinity Homme Loose Fit Men's Solid Color Waffle Knit T-Shirt,1600.0,844.5500000000001,12.0,Unranked(New),Simple Menswear,959.7159090909091
33,5.0,Manfinity Homme Men T-Shirts Fit Crew Neck Short Sleeve Graphic Tee Casual Colorful Summer Knit Top,3000.0,797.0500000000001,13.0,Unranked(New),Simple Menswear,916.1494252873563
