id,city,amount,card_type,status,time
98,tehran,1427657.0,visa,success,2025-09-07 10:48:00
52,tehran,1578078.0,mastercard,success,2025-09-20 13:10:00
20,tehran,250000.0,visa,fail,2025-09-29 03:27:00
59,tehran,1782689.0,visa,success,2025-09-11 11:11:00
77,tehran,1050805.0,discover,fail,2025-09-08 21:21:00
14,tabriz,1387769.0,visa,success,2025-09-29 22:27:00
44,tehran,1502601.0,mastercard,fail,2025-09-21 03:00:00
48,tehran,200000.0,visa,success,2025-09-19 12:12:00
94,shiraz,914282.0,amex,fail,2025-09-23 19:19:00
43,tehran,774681.0,visa,fail,2025-09-11 07:32:00
16,isfahan,1305967.0,visa,fail,2025-09-11 14:30:00
35,karaj,177050.0,visa,fail,2025-09-24 11:11:00
53,tehran,650000.0,mastercard,fail,2025-09-21 11:11:00
34,ahvaz,12345.0,amex,success,2025-09-04 10:05:00
68,karaj,50200.0,discover,success,2025-09-24 03:00:00
5,tehran,1305967.0,mastercard,fail,2025-09-03 17:17:00
10,ahvaz,471227.0,discover,fail,2025-09-22 00:00:00
52,karaj,250000.0,unknown,fail,2025-09-21 11:11:00
29,qom,177050.0,visa,fail,2025-09-02 11:11:00
97,tabriz,471227.0,discover,fail,2025-09-24 13:10:00
66,isfahan,976246.0,visa,success,2025-09-30 16:40:00
76,tehran,120000.0,visa,fail,2025-09-06 01:01:00
92,mashhad,1050805.0,visa,success,2025-09-02 16:40:00
37,tehran,1158713.0,discover,fail,2025-09-21 21:10:00
27,shiraz,450000.0,mastercard,success,2025-09-01 14:30:00
68,isfahan,100.5,discover,success,2025-09-22 02:54:00
89,isfahan,99999.0,discover,success,2025-09-17 14:02:00
44,tehran,1578078.0,mastercard,success,2025-09-27 02:24:00
96,tehran,63489.0,amex,fail,2025-09-27 11:11:00
89,tabriz,450000.0,mastercard,fail,2025-09-10 19:29:00
49,tehran,177050.0,discover,success,2025-09-28 19:40:00
53,tehran,1050805.0,amex,fail,2025-09-28 12:12:00
49,isfahan,1578078.0,mastercard,fail,2025-09-15 11:11:00
66,tehran,343679.0,visa,success,2025-09-30 21:23:00
96,qom,555555.0,discover,success,2025-09-30 09:09:00
63,shiraz,471227.0,mastercard,fail,2025-09-15 05:23:00
25,isfahan,976246.0,mastercard,success,2025-09-30 01:01:00
4,karaj,343679.0,amex,success,2025-09-19 14:00:00
