,Category,Message
0,0,"['g', 'o', 'u', 'n', 't', 'i', 'l', 'j', 'u', 'r', 'o', 'n', 'g', 'p', 'o', 'i', 'n', 't', 'c', 'r', 'a', 'z', 'y', 'a', 'v', 'a', 'i', 'l', 'a', 'b', 'l', 'e', 'o', 'n', 'l', 'y', 'i', 'n', 'b', 'u', 'g', 'i', 's', 'n', 'g', 'r', 'e', 'a', 't', 'w', 'o', 'r', 'l', 'd', 'l', 'a', 'e', 'b', 'u', 'f', 'f', 'e', 't', 'c', 'i', 'n', 'e', 't', 'h', 'e', 'r', 'e', 'g', 'o', 't', 'a', 'm', 'o', 'r', 'e', 'w', 'a', 't']"
1,0,"['o', 'k', 'l', 'a', 'r', 'j', 'o', 'k', 'i', 'n', 'g', 'w', 'i', 'f', 'u', 'o', 'n', 'i']"
2,1,"['f', 'r', 'e', 'e', 'e', 'n', 't', 'r', 'y', 'i', 'n', '2', 'a', 'w', 'k', 'l', 'y', 'c', 'o', 'm', 'p', 't', 'o', 'w', 'i', 'n', 'f', 'a', 'c', 'u', 'p', 'f', 'i', 'n', 'a', 'l', 't', 'k', 't', 's', '2', '1', 's', 't', 'm', 'a', 'y', '2', '0', '0', '5', 't', 'e', 'x', 't', 'f', 'a', 't', 'o', '8', '7', '1', '2', '1', 't', 'o', 'r', 'e', 'c', 'e', 'i', 'v', 'e', 'e', 'n', 't', 'r', 'y', 'q', 'u', 'e', 's', 't', 'i', 'o', 'n', 's', 't', 'd', 't', 'x', 't', 'r', 'a', 't', 'e', 't', 'c', 's', 'a', 'p', 'p', 'l', 'y', '0', '8', '4', '5', '2', '8', '1', '0', '0', '7', '5', 'o', 'v', 'e', 'r', '1', '8', 's']"
3,0,"['u', 'd', 'u', 'n', 's', 'a', 'y', 's', 'o', 'e', 'a', 'r', 'l', 'y', 'h', 'o', 'r', 'u', 'c', 'a', 'l', 'r', 'e', 'a', 'd', 'y', 't', 'h', 'e', 'n', 's', 'a', 'y']"
4,0,"['n', 'a', 'h', 'i', 'd', 'o', 'n', 't', 't', 'h', 'i', 'n', 'k', 'h', 'e', 'g', 'o', 'e', 's', 't', 'o', 'u', 's', 'f', 'h', 'e', 'l', 'i', 'v', 'e', 's', 'a', 'r', 'o', 'u', 'n', 'd', 'h', 'e', 'r', 'e', 't', 'h', 'o', 'u', 'g', 'h']"
5,1,"['f', 'r', 'e', 'e', 'm', 's', 'g', 'h', 'e', 'y', 't', 'h', 'e', 'r', 'e', 'd', 'a', 'r', 'l', 'i', 'n', 'g', 'i', 't', 's', 'b', 'e', 'e', 'n', '3', 'w', 'e', 'e', 'k', 's', 'n', 'o', 'w', 'a', 'n', 'd', 'n', 'o', 'w', 'o', 'r', 'd', 'b', 'a', 'c', 'k', 'i', 'd', 'l', 'i', 'k', 'e', 's', 'o', 'm', 'e', 'f', 'u', 'n', 'y', 'o', 'u', 'u', 'p', 'f', 'o', 'r', 'i', 't', 's', 't', 'i', 'l', 'l', 't', 'b', 'o', 'k', 'x', 'x', 'x', 's', 't', 'd', 'c', 'h', 'g', 's', 't', 'o', 's', 'e', 'n', 'd', '1', '5', '0', 't', 'o', 'r', 'c', 'v']"
6,0,"['e', 'v', 'e', 'n', 'm', 'y', 'b', 'r', 'o', 't', 'h', 'e', 'r', 'i', 's', 'n', 'o', 't', 'l', 'i', 'k', 'e', 't', 'o', 's', 'p', 'e', 'a', 'k', 'w', 'i', 't', 'h', 'm', 'e', 't', 'h', 'e', 'y', 't', 'r', 'e', 'a', 't', 'm', 'e', 'l', 'i', 'k', 'e', 'a', 'i', 'd', 's', 'p', 'a', 't', 'e', 'n', 't']"
7,0,"['a', 's', 'p', 'e', 'r', 'y', 'o', 'u', 'r', 'r', 'e', 'q', 'u', 'e', 's', 't', 'm', 'e', 'l', 'l', 'e', 'm', 'e', 'l', 'l', 'e', 'o', 'r', 'u', 'm', 'i', 'n', 'n', 'a', 'm', 'i', 'n', 'u', 'n', 'g', 'i', 'n', 't', 'e', 'n', 'u', 'r', 'u', 'n', 'g', 'u', 'v', 'e', 't', 't', 'a', 'm', 'h', 'a', 's', 'b', 'e', 'e', 'n', 's', 'e', 't', 'a', 's', 'y', 'o', 'u', 'r', 'c', 'a', 'l', 'l', 'e', 'r', 't', 'u', 'n', 'e', 'f', 'o', 'r', 'a', 'l', 'l', 'c', 'a', 'l', 'l', 'e', 'r', 's', 'p', 'r', 'e', 's', 's', '9', 't', 'o', 'c', 'o', 'p', 'y', 'y', 'o', 'u', 'r', 'f', 'r', 'i', 'e', 'n', 'd', 's', 'c', 'a', 'l', 'l', 'e', 'r', 't', 'u', 'n', 'e']"
8,1,"['w', 'i', 'n', 'n', 'e', 'r', 'a', 's', 'a', 'v', 'a', 'l', 'u', 'e', 'd', 'n', 'e', 't', 'w', 'o', 'r', 'k', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', 'y', 'o', 'u', 'h', 'a', 'v', 'e', 'b', 'e', 'e', 'n', 's', 'e', 'l', 'e', 'c', 't', 'e', 'd', 't', 'o', 'r', 'e', 'c', 'e', 'i', 'v', 'e', 'a', '9', '0', '0', 'p', 'r', 'i', 'z', 'e', 'r', 'e', 'w', 'a', 'r', 'd', 't', 'o', 'c', 'l', 'a', 'i', 'm', 'c', 'a', 'l', 'l', '0', '9', '0', '6', '1', '7', '0', '1', '4', '6', '1', 'c', 'l', 'a', 'i', 'm', 'c', 'o', 'd', 'e', 'k', 'l', '3', '4', '1', 'v', 'a', 'l', 'i', 'd', '1', '2', 'h', 'o', 'u', 'r', 's', 'o', 'n', 'l', 'y']"
9,1,"['h', 'a', 'd', 'y', 'o', 'u', 'r', 'm', 'o', 'b', 'i', 'l', 'e', '1', '1', 'm', 'o', 'n', 't', 'h', 's', 'o', 'r', 'm', 'o', 'r', 'e', 'u', 'r', 'e', 'n', 't', 'i', 't', 'l', 'e', 'd', 't', 'o', 'u', 'p', 'd', 'a', 't', 'e', 't', 'o', 't', 'h', 'e', 'l', 'a', 't', 'e', 's', 't', 'c', 'o', 'l', 'o', 'u', 'r', 'm', 'o', 'b', 'i', 'l', 'e', 's', 'w', 'i', 't', 'h', 'c', 'a', 'm', 'e', 'r', 'a', 'f', 'o', 'r', 'f', 'r', 'e', 'e', 'c', 'a', 'l', 'l', 't', 'h', 'e', 'm', 'o', 'b', 'i', 'l', 'e', 'u', 'p', 'd', 'a', 't', 'e', 'c', 'o', 'f', 'r', 'e', 'e', 'o', 'n', '0', '8', '0', '0', '2', '9', '8', '6', '0', '3', '0']"
10,0,"['i', 'm', 'g', 'o', 'n', 'n', 'a', 'b', 'e', 'h', 'o', 'm', 'e', 's', 'o', 'o', 'n', 'a', 'n', 'd', 'i', 'd', 'o', 'n', 't', 'w', 'a', 'n', 't', 't', 'o', 't', 'a', 'l', 'k', 'a', 'b', 'o', 'u', 't', 't', 'h', 'i', 's', 's', 't', 'u', 'f', 'f', 'a', 'n', 'y', 'm', 'o', 'r', 'e', 't', 'o', 'n', 'i', 'g', 'h', 't', 'k', 'i', 'v', 'e', 'c', 'r', 'i', 'e', 'd', 'e', 'n', 'o', 'u', 'g', 'h', 't', 'o', 'd', 'a', 'y']"
11,1,"['s', 'i', 'x', 'c', 'h', 'a', 'n', 'c', 'e', 's', 't', 'o', 'w', 'i', 'n', 'c', 'a', 's', 'h', 'f', 'r', 'o', 'm', '1', '0', '0', 't', 'o', '2', '0', '0', '0', '0', 'p', 'o', 'u', 'n', 'd', 's', 't', 'x', 't', 'c', 's', 'h', '1', '1', 'a', 'n', 'd', 's', 'e', 'n', 'd', 't', 'o', '8', '7', '5', '7', '5', 'c', 'o', 's', 't', '1', '5', '0', 'p', 'd', 'a', 'y', '6', 'd', 'a', 'y', 's', '1', '6', 't', 's', 'a', 'n', 'd', 'c', 's', 'a', 'p', 'p', 'l', 'y', 'r', 'e', 'p', 'l', 'y', 'h', 'l', '4', 'i', 'n', 'f', 'o']"
12,1,"['u', 'r', 'g', 'e', 'n', 't', 'y', 'o', 'u', 'h', 'a', 'v', 'e', 'w', 'o', 'n', 'a', '1', 'w', 'e', 'e', 'k', 'f', 'r', 'e', 'e', 'm', 'e', 'm', 'b', 'e', 'r', 's', 'h', 'i', 'p', 'i', 'n', 'o', 'u', 'r', '1', '0', '0', '0', '0', '0', 'p', 'r', 'i', 'z', 'e', 'j', 'a', 'c', 'k', 'p', 'o', 't', 't', 'x', 't', 't', 'h', 'e', 'w', 'o', 'r', 'd', 'c', 'l', 'a', 'i', 'm', 't', 'o', 'n', 'o', '8', '1', '0', '1', '0', 't', 'c', 'w', 'w', 'w', 'd', 'b', 'u', 'k', 'n', 'e', 't', 'l', 'c', 'c', 'l', 't', 'd', 'p', 'o', 'b', 'o', 'x', '4', '4', '0', '3', 'l', 'd', 'n', 'w', '1', 'a', '7', 'r', 'w', '1', '8']"
